# scripts/harness-files.tsv: what scripts/update-harness.js does with each path the upstream ships.
# The upstream is a starting point that keeps moving, and a repo made from it has its own work in the
# same tree. This table is the line between the two: which files belong to the harness and travel, and
# which belong to the project and never do.
# The first row whose path matches wins, so the specific rows come before the general ones. A path is
# an exact file, or a prefix ending in / that matches everything under it.
# Columns, tab-separated: path | policy | why
#   merge  three-way merge against the upstream commit the receipt names. A file nobody touched takes
#          the new version outright; an edited one keeps its edits and gains the changes around them;
#          a section the project dropped or replaced stays so; a real collision is written with
#          conflict markers and reported. Created if absent.
#   reconcile as merge, and merged even when there is no receipt to take a base from: the base is
#          recovered by finding the upstream commit whose copy matches this one, and failing that the
#          upstream's copy is written with the project's appended under a heading of its own, rather
#          than left stale. For the few files nothing works without.
#   import as merge, and whatever that leaves, a copy with no line importing AGENTS.md gains one on
#          top: the file Claude Code reads first has to reach the harness, base or none.
#   ignore as merge; with no base, the upstream's patterns the file lacks are appended under a comment.
#   keyed  as merge; with no base, a JSON file merged by key down to its second level, the project's
#          entry winning where both have one.
#   settings JSON merged by key on every run: every hook launching a script in .agents/hooks/ is
#          replaced by the upstream's, and every other key and hook is the project's and stays.
#   union  a table merged as a set of rows keyed by their first column, never in conflict: the
#          upstream's rows, the project's where it changed one, and every row of the project's the
#          upstream lacks, including one it dropped. For a table the project may still need a row of.
#   seed   written only when it is absent, and never touched again: deleted after an install, it stays
#          deleted. Scaffolding the project grows into.
#   skip   never written by an update, at all. The project's own, or generated from something else.
#   skills the vendored skill tree, which merges by name rather than by content: see update-harness.js.
#   optional:<flag> installed as seed, but only when update-harness.js is given --<flag>.
#   template the upstream’s own: never installed anywhere. Nothing a host repo runs reaches it, and shipping
#          it would leave every project carrying the machinery that maintains the upstream rather than the
#          harness that serves the project.
README.md	skip	The project's front page. The upstream's is about the harness itself.
LICENSE	skip	The project chooses its own.
MEMORY.md	skip	Written by project-init, and the one file that says what this project is.
INTENT.md	skip	The product's intent, when the project keeps one. Optional: the harness neither ships nor requires it.
TODO.md	skip	The loose-ends ledger, all of it the project's own.
CONTEXT.md	skip	The domain glossary. The upstream's names the harness's own terms; a project's names its domain.
THIRD-PARTY-NOTICES.md	skip	Generated from the project's own lock file after the update, not copied.
stylecop.json	template	.NET analyzer configuration. Meaningless in a repo that is not .NET, and confusing to find there.
opencode.json	template	Wiring for one agent tool. A team that does not use OpenCode would carry dead config.
tools/docs-site/	optional:astro-docs	The Astro site that renders the chain. Optional, and nothing in the harness reaches it: install it with --astro-docs.
package.json	template	The npm wrapper that publishes the installer. Whatever stack lands in a project’s src/ writes its own.
scripts/update-harness.js	template	The installer. A project updates with npx @salaros/ai-harness, which clones the upstream, so it needs no copy of this.
scripts/install-policy.js	template	What the installer decides for each path, by policy. Shipped in the npx package beside the installer, which alone requires it.
scripts/harness-files.tsv	template	This table. Read from the upstream checkout during an update, never from the project.
.agents/hooks/test.js	template	The harness suite: fixtures that prove the harness scripts. check-edit.js skips it where it is absent; a target runs scripts/check-harness.js instead.
.agents/hooks/tests/	template	Its fixtures.
.github/	template	CI that runs the suite, which does not travel either. A project brings its own.
scripts/skill-licences.tsv	union	One licence row per skill source. A skill the upstream drops stays here, so its row has to stay with it or the notices cannot be written.
skills-lock.json	skills	Merged as a union, so a skill the project vendored itself survives.
.agents/skills/	skills	Added and updated, never removed: the project may install its own.
.claude/skills	merge	One link to .agents/skills, not a link per skill, so every skill a repo has is visible through it -- including one written by hand that nothing vendored.
.claude/agents	merge	One link to .agents/agents, the same shape. Declared rather than left to the fallback, because the fallback is what a reader has to know to predict it.
docs/agents/	merge	Harness config the skills read. issue-tracker.md carries the project key, so it merges rather than being overwritten.
docs/README.md	reconcile	Says what the chain puts where. The artifacts under it are the project's; this file is the harness explaining the folder.
docs/	template	The documentation chain. Every artifact in it is the project's, so the upstream ships none of its own: it runs the same chain, and its ADRs and SPECs are about this harness and its installer. A project writes its own here with the skills, and an install neither seeds nor touches them.
src/	seed	The project's code.
tests/	seed	The project's tests.
tools/	seed	Project tooling. The docs site lands on a first install and is then the project's to change.
workflows/	seed	Workflow specs written by loop-me, one per project.
.scratch/reviews/	template	Architecture reviews of the harness itself. A project's own land in the same place and are its own; shipping the upstream's would hand every project a review of an installer it does not maintain.
.scratch/	seed	Working notes, never shared.
AGENTS.md	reconcile	The map every agent reads, and the table docs-check parses. A stale one leaves a repo that looks installed and behaves like the version it came from.
CLAUDE.md	import	One line pointing at AGENTS.md, but a project may add to it.
CODING_STANDARDS.md	merge	Read by code-review. The upstream's is a starting set.
.gitignore	ignore	Crafted at the root and added to by whatever stack lands.
.editorconfig	merge	As above: whitespace and encoding are enforced here rather than in CODING_STANDARDS.md, so a harness change to them has to be able to reach a repo that already has one.
.gitattributes	merge	As above.
.mcp.json	keyed	MCP servers: the upstream's, plus whatever the project adds.
.claude/settings.json	settings	Harness wiring for Claude Code, plus the project's own permissions.
.agents/	merge	Agents, routing and the hook scripts: the harness itself.
.githooks/	merge	The Git hooks. A hook the project wrote itself is not in the upstream, so it is left alone.
scripts/	merge	The checks the Git hooks and the skills call, and the tables they read.
